Placement Group,Impressions,Clicks,Media Cost,Click Signups,View Signups,Total Registrations,month,category
MSN Run of Social _Group,4,0,0,0,0,0,4,Prospecting
NBC Targeted Media Added Value_Group,621261,577,0,3,6.6,742,4,Prospecting
NBC Targeted Media WDYTYA 300x250_Group,2319960,3572,25519.58,21,45.9,672,4,Prospecting
NBC Targeted Media WDYTYA 728x90_Group,2319958,2286,27839.52,12,40.8,501,4,Prospecting
NBC Who Do You Think You Are 300x250 Roadblock,115295,1916,2075.32,23,57.6,2838,4,Prospecting
NBC Who Do You Think You Are 728x90 Roadblock,116830,1371,2102.92,12,0.3,926,4,Prospecting
NBC Who Do You Think You Are Roadblock Rails_1x1,117421,2947,1878.74,21,1.2,1313,4,Prospecting
Netmining Custom Audience Targeting_Group,50417,23,0,0,7.5,102,4,Prospecting
Oprah Flipboard_1024x768,0,16,0,0,0,0,4,Prospecting
Oprah Flipboard_768x1024,2,4,0,0,0,0,4,Prospecting
Oprah Flipboard_m_640x920,0,4,0,0,0,0,4,Prospecting
Quantcast ACOM Subscription Model_Group,36705524,22113,110116.92,159,2057.1,13288,4,Prospecting
Specific Media Network_Group,16746296,6018,27966.26,11,229.5,1197,4,Prospecting
Tribal Fusion CPA_Group,7748198,9226,43971.5,80,574.5,4509,4,Prospecting
Turn Predictive Retargeting_Group,12717991,8366,36955.95,47,567,7991,4,Prospecting
Undertone Network Takeover,5002508,16377,49949.85,28,59.1,692,4,Prospecting
Invite Retargeting_Group,30236831,30996,39156.41,119,445.14,11915,4,Remarketing
Netmining Retargeting_Group,37171,38,0,5,30,455,4,Remarketing
Tribal Fusion CPA Remarketing_Group,8070292,8024,25382.3,50,339.48,5223,4,Remarketing
Turn Retargeting_Group,24654417,18375,73219.89,150,1096.2,16294,4,Remarketing
Ad.com CPA Network_Group,234101418,145580,224057.75,424,3260.7,29766,5,Prospecting
Admob iPad Banner Sustaining_Group,6396764,38001,6147.63,21,0,42,5,Prospecting
Admob iPad Banners New Device Targeting_Group,0,2,0,0,0,0,5,Prospecting
Admob iPad Text Tile New Device Targeting_Group,0,2,0.2,0,0,4,5,Prospecting
